Tipo Titulo;Vencimento do Titulo;Mes Estoque;PU;Quantidade;Valor Estoque
Tesouro Educa+;15/12/2044;01/02/2024; R$ 1.552,84 ;4.659; R$ 7.234.402,99 
Tesouro Educa+;15/12/2045;01/02/2024; R$ 1.470,98 ;7.181; R$ 10.562.636,34 
Tesouro IPCA+;15/05/2045;01/03/2024; R$ 1.447,61 ;5.404.357; R$ 7.823.410.760,40 
Tesouro IPCA+;15/08/2026;01/05/2023; R$ 3.587,02 ;3.933.940; R$ 14.111.109.044,46 
Tesouro Prefixado;01/01/2026;01/05/2023; R$ 806,81 ;4.341.950; R$ 3.503.113.188,13 
Tesouro Selic;01/03/2025;01/06/2023; R$ 13.431,37 ;983.551; R$ 13.210.428.639,22 
Tesouro Selic;01/03/2029;01/07/2023; R$ 13.452,92 ;552.699; R$ 7.435.421.607,57 
Tesouro IPCA+;15/05/2029;01/07/2023; R$ 2.987,52 ;518.150; R$ 1.547.983.405,12 
Tesouro RendA+;15/12/2049;01/07/2023; R$ 1.664,99 ;225.661; R$ 375.723.511,19 
Tesouro RendA+;15/12/2054;01/07/2023; R$ 1.229,54 ;153.598; R$ 188.854.443,00 
Tesouro RendA+;15/12/2059;01/07/2023; R$ 912,68 ;133.941; R$ 122.245.612,12 
Tesouro RendA+;15/12/2064;01/07/2023; R$ 680,44 ;154.776; R$ 105.315.419,81 
Tesouro RendA+;15/12/2069;01/07/2023; R$ 510,64 ;86.292; R$ 44.064.269,10 
Tesouro RendA+;15/12/2074;01/07/2023; R$ 376,83 ;72.140; R$ 27.184.692,50 
Tesouro RendA+;15/12/2079;01/07/2023; R$ 286,23 ;48.751; R$ 13.953.978,55 
Tesouro RendA+;15/12/2084;01/07/2023; R$ 214,00 ;533.743; R$ 114.221.721,51 
Tesouro IPCA+ com Juros Semestrais;15/05/2035;01/08/2023; R$ 4.376,31 ;360.240; R$ 1.576.519.381,54 
Tesouro IPCA+;15/08/2024;01/08/2023; R$ 3.938,36 ;2.827.193; R$ 11.134.514.576,93 
Tesouro IPCA+ com Juros Semestrais;15/08/2024;01/09/2023; R$ 4.167,42 ;24.305; R$ 101.289.569,12 
Tesouro IPCA+ com Juros Semestrais;15/08/2050;01/09/2023; R$ 4.614,55 ;287.581; R$ 1.327.059.693,60 
Tesouro Prefixado com Juros Semestrais;01/01/2027;01/09/2023; R$ 990,86 ;212.173; R$ 210.234.540,75 
